Row Label,County,Linda Lau,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
KEN 33-2443,KI,61,303,21,82,0,0
SEA 36-1294,KI,199,735,249,449,0,1
SEA 36-1295,KI,95,337,120,219,0,4
SEA 36-1296,KI,111,303,82,194,0,1
SEA 36-1297,KI,90,298,92,183,0,1
SHL 32-0474,KI,98,383,88,191,0,5
SEA 36-1292,KI,120,356,97,220,0,3
SEA 37-1646,KI,86,457,64,151,1,0
SEA 37-1647,KI,194,669,154,349,0,1
SEA 36-1768,KI,95,331,106,201,0,0
ELIZABETH,KI,149,601,123,273,0,1
DUV 45-3218,KI,255,840,198,454,0,1
SEA 37-1643,KI,139,682,87,228,0,2
SEA 36-1764,KI,102,264,83,185,0,0
SEA 36-1765,KI,84,274,93,178,0,1
SEA 36-1766,KI,102,401,113,216,0,1
SEA 36-1767,KI,116,551,124,242,0,2
SEA 36-1760,KI,96,300,97,195,0,2
CARPENTER,KI,105,434,137,242,0,0
SEA 36-1762,KI,99,306,106,207,0,2
SEA 36-1763,KI,96,312,98,196,0,2
SEA 34-3175,KI,112,357,122,235,0,1
SEAVIEW,KI,121,393,98,221,0,2
SHL 32-0514,KI,158,534,154,312,0,0
KIR 45-2423,KI,281,726,171,453,0,1
DOUGLAS,KI,174,568,160,337,0,3
KIR 45-2421,KI,148,515,122,274,0,4
MILLIKIN,KI,231,650,185,422,0,6
COV 47-0566,KI,182,724,121,308,0,5
SHL 32-0519,KI,111,422,70,182,0,1
SEA 36-2129,KI,179,691,144,326,0,3
SEA 36-2126,KI,207,722,209,419,0,3
SEA 36-2125,KI,205,620,148,357,0,4
SEA 36-2121,KI,111,443,101,216,0,4
SEA 36-2120,KI,134,413,138,273,0,1
AUB 31-0042,KI,141,509,97,240,0,2
AUB 31-0047,KI,174,574,87,264,0,3
SHL 32-0401,KI,160,419,122,282,0,0
AUB 31-0048,KI,46,210,31,78,0,1
HANSEN,KI,172,505,134,308,0,2
STEVENS,KI,56,197,60,124,0,8
SEA 37-1616,KI,99,351,107,207,0,1
KIR 45-2962,KI,132,453,74,208,0,2
SHL 32-0609,KI,117,370,66,184,0,1
VINCENT,KI,102,411,108,210,0,0
KIR 45-2730,KI,180,686,116,298,0,2
M-I 41-2691,KI,117,516,82,202,0,3
SEA 43-2987,KI,53,673,44,97,0,0
SHL 32-0605,KI,141,422,113,255,0,1
DES 33-0272,KI,140,414,98,239,0,1
LFP 46-2763,KI,109,276,75,186,0,2
SEA 37-1608,KI,141,559,148,293,0,4
HOLIDAY LAKE,KI,109,299,84,193,0,0
RED 45-0936,KI,164,476,106,275,0,5
OSCEOLA,KI,180,557,151,336,0,5
NEUWAUKUM,KI,102,356,94,199,0,3
KEN 47-0229,KI,188,695,107,296,0,1
RNT 11-0983,KI,135,525,77,215,0,3
BEL 41-0101,KI,162,502,109,272,0,1
BEL 41-0103,KI,167,535,142,310,0,1
BEL 41-0102,KI,147,464,121,268,0,0
BEL 41-0106,KI,110,457,114,229,0,5
BEL 41-0109,KI,87,325,52,139,0,0
M-V 05-2857,KI,193,703,199,394,0,2
CORWIN,KI,250,817,244,498,0,4
BUR 34-0489,KI,163,445,162,327,0,2
SEA 37-1899,KI,100,338,95,195,0,0
RNT 11-3404,KI,125,556,106,232,0,1
BUR 34-0311,KI,176,464,91,268,0,1
SEA 37-1891,KI,100,304,92,193,0,1
SEA 37-1890,KI,216,581,192,412,0,4
SEA 37-1893,KI,169,445,115,287,0,3
SEA 37-1892,KI,199,594,159,360,0,2
SEA 37-1895,KI,163,604,188,356,0,5
SEA 37-1894,KI,124,433,132,259,0,3
SEA 37-1897,KI,194,881,120,320,0,6
SEA 37-1896,KI,130,410,126,258,0,2
B-D 05-0239,KI,156,560,128,284,0,0
AUB 47-3585,KI,99,374,53,152,0,0
BUR 34-0465,KI,72,228,60,132,0,0
KMR 46-0340,KI,168,443,137,306,0,1
SAM 45-3293,KI,209,661,171,382,0,2
SAM 45-3298,KI,175,523,117,297,0,5
SEA 36-1815,KI,176,453,97,273,0,0
KIR 01-3678,KI,108,349,84,193,0,1
BUR 33-0701,KI,186,722,101,291,0,4
SHL 32-0861,KI,219,696,105,331,0,7
BEL 41-0211,KI,119,373,106,229,0,4
BEL 41-0210,KI,92,367,93,186,0,1
TIMBER,KI,207,664,148,358,0,3
BEL 41-0219,KI,146,623,116,264,0,2
SEA 43-1351,KI,151,561,163,315,0,1
SEA 43-1350,KI,63,265,70,133,0,0
KEN 47-3190,KI,142,693,95,241,0,4
SEA 43-1352,KI,171,608,150,322,0,1
SEA 43-1355,KI,142,401,102,244,0,0
SEA 43-1354,KI,129,435,111,240,0,0
SEA 43-1357,KI,113,355,78,192,0,1
SEA 43-1359,KI,165,518,124,291,0,2
SEA 43-1358,KI,108,418,113,224,0,3
RED 48-3208,KI,99,415,56,156,0,1
ISS 05-3527,KI,165,587,82,249,0,2
B-D 05-2413,KI,141,466,139,284,0,4
SEA 46-1952,KI,85,281,94,179,0,0
SEA 46-1953,KI,101,236,73,175,0,1
SEA 46-1954,KI,103,282,100,203,0,0
SEA 46-1955,KI,160,558,127,289,0,2
SEA 46-1957,KI,189,553,164,354,0,1
SEA 46-1959,KI,261,703,227,491,0,3
RED 48-3664,KI,130,594,110,243,0,3
KEN 47-3537,KI,148,557,101,249,0,0
DIANE,KI,0,0,0,0,0,0
BERNICE,KI,172,601,65,240,0,3
KEN 47-3447,KI,63,248,43,107,0,1
KEN 47-2667,KI,121,528,53,176,0,2
RNT 11-1008,KI,143,662,114,264,0,7
RNT 11-1007,KI,68,315,80,149,0,1
RNT 11-1006,KI,100,453,93,194,0,1
RNT 11-1004,KI,75,317,65,141,0,1
RNT 11-1002,KI,77,332,64,142,0,1
FED 30-3096,KI,141,550,107,249,0,1
FED 30-3097,KI,249,720,177,429,0,3
FED 30-3094,KI,170,595,100,277,0,7
FED 30-3095,KI,113,501,58,173,0,2
FED 30-3092,KI,152,631,59,213,0,2
FED 30-3093,KI,140,612,79,221,0,2
FED 30-3090,KI,111,356,86,198,0,1
FED 30-3091,KI,251,552,135,388,1,1
SEA 46-2326,KI,135,574,136,271,0,0
SEA 46-2327,KI,105,381,84,190,0,1
SEA 46-2324,KI,122,432,112,237,0,3
SEA 46-2325,KI,156,405,85,242,0,1
SEA 46-2322,KI,144,532,135,281,0,2
SEA 46-2323,KI,147,554,160,310,0,3
FED 30-3098,KI,142,528,107,252,0,3
LFP 46-0517,KI,122,445,147,273,0,4
CHERRY VALLEY,KI,139,514,160,304,0,5
ISABELLA,KI,242,660,164,409,0,3
KIR 01-3422,KI,154,546,112,266,0,0
SEA 34-1461,KI,146,399,119,268,0,3
SEA 34-1460,KI,102,324,105,209,0,2
SEA 34-1463,KI,89,259,88,178,0,1
SEA 34-1462,KI,89,339,110,199,0,0
SEA 34-1465,KI,152,372,99,251,0,0
SEA 34-1464,KI,119,359,125,245,0,1
SEA 34-1467,KI,171,551,166,339,0,2
SEA 34-1466,KI,98,303,80,179,0,1
RED 48-2629,KI,169,648,123,295,0,3
RED 48-2628,KI,122,472,89,211,0,0
BUR 34-1192,KI,208,591,187,397,0,2
SEA 34-1489,KI,180,744,158,338,0,0
SEA 34-1488,KI,164,692,119,284,0,1
SEA 34-1482,KI,102,321,78,180,0,0
SEA 34-1481,KI,126,479,98,227,0,3
SEA 34-1480,KI,189,594,150,339,0,0
SEA 34-1487,KI,113,335,89,205,0,3
SEA 34-1486,KI,107,364,93,201,0,1
SEA 34-1485,KI,190,708,115,307,0,2
SEA 34-1484,KI,104,345,75,180,0,1
RNT 05-3698,KI,20,52,7,27,0,0
BUR 34-0913,KI,156,599,65,225,0,4
MAPLE HILLS,KI,222,719,167,391,0,2
SEA 46-2319,KI,157,506,166,323,0,0
SPRINKLE,KI,37,107,29,66,0,0
RNT 37-0969,KI,0,0,0,0,0,0
KMR 46-1095,KI,244,785,173,421,0,4
SEA 43-1265,KI,67,256,78,148,0,3
RNT 37-0967,KI,150,503,84,236,0,2
KEN 33-2618,KI,196,795,104,306,0,6
KEN 47-2485,KI,185,616,98,288,0,5
SEA 43-1264,KI,121,361,125,248,0,2
RNT 11-0719,KI,78,243,55,134,0,1
SEA 43-1267,KI,123,386,140,264,0,1
SHL 32-0319,KI,80,284,61,141,0,0
SEA 34-1534,KI,114,362,124,238,0,0
TOTEM,KI,13,70,18,31,0,0
FED 30-3078,KI,134,402,80,218,0,4
FED 30-3079,KI,167,508,91,260,0,2
ISS 41-2733,KI,250,843,205,462,0,7
DES 33-0911,KI,142,515,80,224,0,2
KIR 45-3109,KI,144,469,86,230,0,0
KIR 45-3450,KI,61,251,64,125,0,0
FED 30-3077,KI,116,339,85,202,0,1
AUB 47-0671,KI,199,785,126,329,0,4
SET 33-3059,KI,133,683,70,205,0,2
KEN 33-3670,KI,81,288,39,120,0,0
KINGLET,KI,130,532,97,227,0,0
SAM 45-3454,KI,72,233,44,116,0,0
DES 33-0682,KI,157,444,82,241,0,2
SEA 36-1751,KI,108,368,103,212,0,1
SEA 36-1750,KI,138,493,158,296,0,0
PIPELINE,KI,46,153,33,82,0,3
SEA 36-1752,KI,113,437,130,244,0,1
SEA 36-1755,KI,80,272,77,158,0,1
SEA 36-1754,KI,115,387,137,252,0,0
BOT 01-3661,KI,145,528,98,245,0,2
SEA 36-1756,KI,204,682,188,393,0,1
DES 33-2820,KI,104,393,60,164,0,0
SEA 36-1758,KI,128,351,117,246,0,1
SEA 43-2043,KI,91,292,102,193,0,0
SEA 43-2044,KI,95,350,89,186,0,2
SEA 43-2045,KI,99,315,90,189,0,0
SEA 43-2047,KI,195,662,205,403,0,3
MORGAN,KI,175,631,129,305,0,1
M-I 41-0787,KI,88,333,93,182,0,1
SNQ 05-3409,KI,234,787,162,399,0,3
MERRIHILL,KI,201,687,116,324,0,7
SHL 32-1021,KI,181,550,123,309,0,5
SHL 32-1020,KI,105,341,73,178,0,0
KMR 46-2462,KI,84,258,78,164,0,2
SEA 36-2149,KI,124,367,135,261,0,2
SEA 36-2134,KI,147,490,118,266,0,1
BROOKTRAILS,KI,178,564,167,347,0,2
SEA 36-2130,KI,125,388,116,243,0,2
SEA 36-2131,KI,232,851,220,453,0,1
SEA 36-2133,KI,182,698,164,348,0,2
RED 48-0942,KI,146,402,111,258,0,1
COUGAR MTN,KI,4,8,1,8,0,3
SEA 46-1312,KI,95,326,86,181,0,0
SEA 46-1313,KI,78,280,89,168,0,1
DES 33-0864,KI,108,317,95,204,0,1
SEA 46-1311,KI,108,427,89,198,0,1
SEA 46-1314,KI,95,330,115,210,0,0
KEN 47-0439,KI,181,585,125,309,0,3
SEA 36-1808,KI,98,275,57,156,0,1
SAM 41-2813,KI,168,567,169,337,0,0
M-V 05-3461,KI,192,779,154,352,0,6
SEA 36-1805,KI,115,473,122,239,0,2
SEA 36-1806,KI,155,598,125,281,0,1
SEA 36-1801,KI,207,896,183,391,0,1
SEA 36-1803,KI,82,298,96,178,0,0
RED 45-3584,KI,144,449,115,259,0,0
RED 48-0944,KI,120,375,93,217,0,4
SEA 36-3669,KI,78,349,78,157,0,1
ENM 31-3248,KI,253,732,186,442,0,3
ENM 31-3247,KI,183,682,139,323,0,1
ENM 31-3246,KI,67,264,58,127,0,2
KIR 45-2722,KI,177,626,116,296,0,3
YPT 48-1234,KI,127,411,123,250,0,0
YPT 48-1233,KI,142,401,84,226,0,0
ALDER SPRINGS,KI,178,550,169,349,0,2
SEA 36-2592,KI,88,352,115,205,0,2
EARLINGTON,KI,95,357,52,150,0,3
SEA 36-2590,KI,111,364,100,213,0,2
KEN 05-3375,KI,0,0,0,0,0,0
KIR 01-2767,KI,191,573,167,359,0,1
KIR 01-2762,KI,174,618,132,308,0,2
KIR 01-2768,KI,210,624,172,383,0,1
SHL 32-0897,KI,138,446,90,233,0,5
KEN 33-0603,KI,199,649,145,347,0,3
RED 48-0951,KI,116,379,107,223,0,0
RED 48-0950,KI,123,444,91,214,0,0
RED 48-0953,KI,239,758,176,418,0,3
RED 48-0952,KI,96,311,64,160,0,0
KELLY,KI,116,375,73,189,0,0
DUV 45-3219,KI,158,548,136,298,0,4
KEN 47-0238,KI,210,723,132,349,0,7
BEL 41-0116,KI,52,290,59,111,0,0
BEL 41-0117,KI,75,263,65,140,0,0
BEL 41-0114,KI,129,459,163,292,0,0
BEL 41-0112,KI,198,712,159,358,0,1
BEL 41-0113,KI,76,255,81,158,0,1
BEL 41-0110,KI,160,571,96,257,0,1
BEL 41-0111,KI,185,544,144,330,0,1
BEL 41-3312,KI,261,796,228,489,0,0
SEA 43-1784,KI,162,500,143,308,0,3
BEL 41-0119,KI,99,295,98,197,0,0
WELCOME LAKE,KI,352,735,223,578,0,3
SEA 34-1545,KI,121,422,103,224,0,0
SEA 36-3267,KI,138,548,78,219,0,3
SEA 37-1886,KI,166,523,126,293,0,1
CANDLEWOOD,KI,67,412,52,120,0,1
SEA 37-1885,KI,115,398,105,223,0,3
SEA 37-1882,KI,109,395,79,193,0,5
SEA 37-1883,KI,104,423,97,204,0,3
SEA 37-1880,KI,144,514,128,276,0,4
SEA 37-1881,KI,92,396,96,188,0,0
AUB 47-3591,KI,131,445,75,206,0,0
SEA 43-1780,KI,121,350,84,208,0,3
SEA 43-1781,KI,97,326,66,164,0,1
ELSIE,KI,242,726,148,393,0,3
SELLECK,KI,224,784,192,420,0,4
BEL 41-0203,KI,228,688,181,410,0,1
M-V 05-3482,KI,253,870,187,441,0,1
SEA 46-2370,KI,90,428,47,137,0,0
BUR 33-0289,KI,114,412,69,188,0,5
BEL 41-0205,KI,101,288,70,171,0,0
DIPPER,KI,189,675,153,346,0,4
BOT 01-3271,KI,127,431,101,229,0,1
SHL 32-0819,KI,129,411,81,211,0,1
SEA 36-1299,KI,111,425,144,260,0,5
SEA 43-1347,KI,219,726,214,435,0,2
SEA 43-1344,KI,130,452,162,292,0,0
NEW 41-3261,KI,170,503,94,267,0,3
SEA 43-1342,KI,126,366,109,237,0,2
BUR 34-1219,KI,171,530,172,345,0,2
SEA 43-1341,KI,193,499,157,351,0,1
WOD 45-2769,KI,226,748,214,444,0,4
SALAL,KI,109,359,116,225,0,0
SEA 43-1349,KI,95,359,134,231,0,2
SHL 32-0470,KI,135,413,122,258,0,1
B-D 05-2407,KI,242,838,204,447,0,1
SEA 46-1965,KI,107,292,83,190,0,0
BEL 48-1049,KI,129,344,85,215,0,1
SEA 46-1967,KI,173,497,144,320,0,3
SEA 46-1966,KI,67,234,75,144,0,2
SEA 46-1961,KI,94,272,87,182,0,1
SEA 46-1963,KI,73,278,79,152,0,0
SEA 36-2116,KI,100,299,102,202,0,0
PRESTON,KI,204,661,173,383,0,6
SEA 46-1969,KI,86,278,83,169,0,0
SEA 11-1641,KI,116,539,67,183,0,0
SEA 36-3319,KI,192,867,172,365,0,1
SEA 36-3318,KI,214,680,211,428,0,3
BUR 34-0295,KI,134,479,133,269,0,2
LYNX,KI,150,531,120,276,0,6
SHL 32-0921,KI,93,260,81,176,0,2
BUR 34-0298,KI,207,668,113,322,0,2
SEA 36-3317,KI,188,595,195,383,0,0
SEA 43-2853,KI,112,440,94,206,0,0
SEA 43-2852,KI,120,501,104,226,0,2
RANCH,KI,131,444,102,233,0,0
SEA 43-2113,KI,88,393,50,140,0,2
RNT 11-1015,KI,108,443,85,194,0,1
RNT 11-1011,KI,233,881,152,391,0,6
KEN 47-3275,KI,180,854,107,288,0,1
COTTAGE LAKE,KI,127,452,98,228,0,3
KIR 45-3668,KI,130,428,74,206,0,2
SEA 43-2058,KI,74,247,76,150,0,0
SHANGRI-LA,KI,125,394,105,233,0,3
SEA 37-1640,KI,172,738,119,293,0,2
RIVERSIDE,KI,107,396,112,220,0,1
SEA 43-1861,KI,205,750,226,432,0,1
LISABEULA,KI,138,467,167,309,0,4
SHL 32-0407,KI,216,661,167,386,0,3
LEAH,KI,172,661,143,319,0,4
HI-VALLEY,KI,298,829,239,542,0,5
RED 48-2636,KI,167,451,87,256,0,2
SEA 34-1477,KI,95,307,105,200,0,0
RED 48-2634,KI,130,389,101,231,0,0
RED 48-2635,KI,127,387,97,224,0,0
RED 48-2632,KI,69,225,61,130,0,0
RED 48-2633,KI,225,626,149,375,0,1
RED 48-2630,KI,140,394,115,257,0,2
SEA 34-1471,KI,159,492,144,305,0,2
SEA 34-1478,KI,83,253,79,163,0,1
SEA 34-1479,KI,113,313,86,200,0,1
SEA 43-2050,KI,135,442,85,222,0,2
HAAS,KI,88,303,106,199,0,5
SEA 36-1761,KI,98,309,93,193,0,2
SEA 34-1498,KI,182,668,146,330,0,2
SEA 34-1499,KI,145,483,141,289,0,3
SEA 43-2055,KI,52,322,61,113,0,0
SEA 34-1490,KI,133,437,100,235,0,2
SEA 34-1493,KI,191,722,127,320,0,2
SEA 34-1494,KI,149,536,112,265,0,4
SEA 34-1496,KI,203,826,182,389,0,4
RED 48-3548,KI,97,292,46,145,0,2
SEA 46-2267,KI,134,518,106,241,0,1
SEA 46-2266,KI,143,494,144,288,0,1
SEA 46-2264,KI,265,768,219,487,0,3
GRANDVIEW,KI,4,16,3,8,0,1
SEA 46-2261,KI,88,256,87,175,0,0
SEA 46-2260,KI,265,722,242,511,0,4
SILVER SPURS,KI,7,18,3,10,0,0
SNO PASS,KI,74,208,57,131,0,0
SEA 46-2269,KI,99,305,97,197,0,1
SEA 46-2268,KI,105,330,100,205,0,0
KEN 47-2477,KI,215,535,145,361,0,1
RNT 37-0991,KI,144,619,102,250,0,4
RNT 37-0999,KI,213,760,125,343,3,2
KEN 47-2708,KI,124,485,101,226,0,1
KEN 47-2709,KI,253,839,152,407,0,2
ISS 41-2692,KI,109,382,103,215,0,3
KEN 47-2704,KI,280,773,148,430,0,2
SAM 41-3214,KI,116,435,121,241,0,4
SAM 41-3215,KI,206,814,141,348,0,1
BLACK RIVER,KI,54,320,20,77,0,3
KEN 47-2490,KI,218,673,111,331,0,2
SEA 46-2313,KI,154,538,91,248,0,3
DES 30-0954,KI,256,745,157,415,0,2
DUTHIE HILL,KI,113,356,94,208,0,1
SEA 46-2311,KI,145,451,110,256,0,1
MARIAN,KI,214,776,107,323,0,2
BEL 41-2782,KI,51,183,28,81,0,2
FED 30-3289,KI,227,819,134,368,0,7
SEA 46-2310,KI,146,386,130,277,0,1
RNT 37-1000,KI,75,532,67,142,0,0
FED 30-3049,KI,131,430,37,168,0,0
FED 30-3048,KI,126,634,60,187,0,1
FED 30-3045,KI,167,637,83,253,0,3
FED 30-3044,KI,232,657,91,326,0,3
FED 30-3047,KI,154,492,78,236,0,4
FED 30-3046,KI,110,397,77,188,0,1
FED 30-3041,KI,96,326,61,158,0,1
FED 30-3040,KI,95,432,46,146,0,5
FED 30-3043,KI,159,631,98,261,0,4
FED 30-3042,KI,101,251,63,166,0,2
KEN 47-0753,KI,157,622,86,249,0,6
SAM 41-3508,KI,202,685,131,337,0,4
KEN 33-3644,KI,144,486,69,213,0,0
BEL 48-3292,KI,143,401,99,244,0,2
SHL 32-0494,KI,137,468,113,252,0,2
SHL 32-0499,KI,173,462,114,288,0,1
SEA 46-2318,KI,97,277,89,188,0,2
SAM 41-3506,KI,129,455,102,234,0,3
SAM 41-3507,KI,205,708,108,314,0,1
SEA 36-1746,KI,120,313,82,203,0,1
SEA 36-1747,KI,94,296,100,195,0,1
SEA 36-1744,KI,109,393,117,228,0,2
SEA 36-1742,KI,107,296,78,185,0,0
SEA 36-1743,KI,101,391,105,206,0,0
SEA 36-1740,KI,94,323,112,208,0,2
SEA 36-1741,KI,99,325,108,207,0,0
SEA 43-2075,KI,76,458,87,163,0,0
SEA 43-2074,KI,150,564,164,316,0,2
SEA 43-2076,KI,82,403,54,137,0,1
SEA 43-2071,KI,152,371,108,260,0,0
SEA 36-1748,KI,80,261,88,169,0,1
SEA 36-1749,KI,190,681,178,370,0,2
KEN 47-1170,KI,106,412,73,180,0,1
BEL 48-2430,KI,174,486,113,290,0,3
BEL 48-2432,KI,124,403,98,225,0,3
BEL 48-2434,KI,122,394,137,259,0,0
MCDIVITT,KI,21,57,11,32,0,0
SEA 43-1887,KI,201,648,161,365,0,3
SEA 43-1889,KI,151,483,136,288,0,1
SEA 43-1888,KI,203,633,169,373,0,1
SEA 34-1430,KI,101,322,89,190,0,0
SHL 32-1030,KI,88,301,55,144,0,1
CHURCHILL,KI,124,425,138,262,0,0
KEN 33-2864,KI,152,463,87,243,0,4
SEA 43-1779,KI,85,377,62,147,0,0
NEW 41-1115,KI,206,633,131,340,0,3
SEA 36-1324,KI,229,779,247,477,0,1
SEA 36-1325,KI,122,465,122,246,0,2
CARRIAGE,KI,133,399,95,230,0,2
SEA 36-1320,KI,122,362,112,234,0,0
SEA 36-1321,KI,132,416,124,258,0,2
SEA 36-1322,KI,125,479,159,286,0,2
SEA 36-1323,KI,116,401,127,243,0,0
COLLEEN,KI,159,488,139,304,0,6
SEA 36-1328,KI,195,756,194,390,0,1
SEA 36-1329,KI,110,410,142,254,0,2
SEA 36-1812,KI,130,469,121,251,0,0
SEA 36-1813,KI,81,330,91,174,0,2
SEA 36-1816,KI,98,303,74,172,0,0
SEA 46-2299,KI,126,393,101,229,0,2
SAM 41-0100,KI,222,667,138,362,0,2
OVERDALE,KI,8,12,1,9,0,0
SEA 43-2238,KI,262,813,276,539,0,1
SEA 36-3679,KI,68,314,69,137,0,0
SHL 32-0665,KI,130,414,87,218,0,1
TUK 11-1165,KI,194,752,145,340,0,1
ARIA,KI,133,428,106,239,0,0
SET 33-3081,KI,163,738,105,269,0,1
RNT 11-2739,KI,84,274,53,140,0,3
RED 48-0948,KI,74,246,48,124,0,2
RED 48-0949,KI,132,433,100,234,0,2
ISS 05-3649,KI,106,404,82,188,0,0
RED 48-0940,KI,144,399,113,258,0,1
RED 48-0941,KI,106,331,99,205,0,0
RED 48-0947,KI,118,360,96,215,0,1
KIR 01-2595,KI,147,495,89,239,0,3
RED 48-0945,KI,146,453,99,245,0,0
KEN 47-0246,KI,155,479,104,261,0,2
SEA 37-1591,KI,131,360,118,249,0,0
RED MILL,KI,135,418,82,217,0,0
SEA 37-1592,KI,188,634,168,361,0,5
SEA 36-2535,KI,149,566,138,291,0,4
BEL 41-0475,KI,90,262,59,149,0,0
SHL 32-0711,KI,109,337,99,208,0,0
SEA 37-1593,KI,142,470,112,254,0,0
BEL 41-3658,KI,68,305,46,115,0,1
BEL 41-0472,KI,154,522,147,303,0,2
SAM 45-2450,KI,181,548,142,325,0,2
MIDDLE FORK,KI,123,383,89,214,0,2
BEL 41-3657,KI,114,353,75,189,0,0
SEA 37-1872,KI,187,581,165,359,0,7
SEA 37-1871,KI,190,629,195,389,0,4
SEA 43-1868,KI,119,353,114,233,0,0
SEA 37-1876,KI,207,766,235,444,1,1
SEA 37-1875,KI,170,525,115,288,0,3
SAM 45-2693,KI,248,796,162,414,0,4
SEA 43-1862,KI,130,476,102,234,0,2
SEA 37-1879,KI,225,839,195,424,0,4
SEA 43-1860,KI,190,745,172,368,0,6
SEA 43-1867,KI,157,546,140,299,0,2
STAR LAKE,KI,107,325,75,182,0,0
RNT 11-3604,KI,136,591,97,234,0,1
KIR 45-0623,KI,131,378,97,229,0,1
KIR 45-0622,KI,121,390,93,214,0,0
KIR 45-0620,KI,191,552,148,340,0,1
KIR 45-0627,KI,199,628,175,376,0,2
RNT 11-3609,KI,97,461,75,173,0,1
KIR 45-0624,KI,278,793,219,501,0,4
DUV 45-3642,KI,131,443,115,249,0,3
DES 33-1128,KI,90,289,82,174,0,2
EAGLE,KI,0,3,0,0,0,0
BUR 33-0729,KI,195,864,121,320,2,2
MEADOWBROOK,KI,82,300,87,173,0,4
SWEENEY,KI,175,575,164,341,0,2
SHL 32-0088,KI,77,258,44,121,0,0
KIR 01-2759,KI,210,695,148,359,0,1
RUDDELL,KI,120,397,90,214,0,4
SHL 32-0802,KI,126,452,66,194,0,2
BEL 41-3278,KI,96,290,75,172,0,1
SEA 43-1406,KI,145,398,118,264,0,1
WOD 45-2597,KI,203,647,143,350,0,4
FOX,KI,135,434,111,247,0,1
KIR 48-2925,KI,148,498,131,284,0,5
LAKE ALICE,KI,148,519,145,295,0,2
M-V 05-2614,KI,251,831,167,422,0,4
SEA 46-1971,KI,108,325,92,200,0,0
RNT 11-3287,KI,178,705,159,338,0,1
SEA 46-1977,KI,113,321,103,217,0,1
SEA 46-1974,KI,141,415,127,269,0,1
AUB 31-0049,KI,128,450,60,195,0,7
SEA 34-1245,KI,138,466,105,244,0,1
SEA 34-1247,KI,128,461,71,202,0,3
SEA 34-1246,KI,111,355,92,203,0,0
SEA 34-1249,KI,142,551,94,241,0,5
SEA 34-1248,KI,121,407,87,209,0,1
NPK 33-2645,KI,137,335,82,219,0,0
NPK 33-2644,KI,118,287,84,204,0,2
NPK 33-2646,KI,185,587,156,341,0,0
SEA 32-2203,KI,207,758,209,422,0,6
BUR 34-0281,KI,0,0,0,0,0,0
BEL 41-0658,KI,120,403,100,220,0,0
BEL 41-0305,KI,132,484,85,218,0,1
SEA 36-1693,KI,103,308,86,189,0,0
SEA 43-3628,KI,166,536,121,290,0,3
RED 48-3313,KI,240,667,141,384,0,3
RED 48-3316,KI,97,344,55,154,0,2
BUR 34-1082,KI,111,307,104,215,0,0
CORNELL,KI,185,557,130,316,0,1
RED 48-2790,KI,182,592,139,323,0,2
BUR 34-0848,KI,145,421,113,261,0,3
KIR 45-3612,KI,83,211,31,116,0,2
SEA 46-2375,KI,110,312,98,210,0,2
FED 30-3036,KI,92,342,55,148,0,1
AUB 31-3335,KI,216,732,134,351,0,1
KEN 47-3184,KI,246,776,134,384,0,4
SEA 37-3567,KI,76,408,52,130,0,2
BRIAR,KI,162,521,117,283,0,4
COV 47-2711,KI,151,536,104,255,0,0
NEW 41-3528,KI,105,420,76,182,0,1
BUR 34-1150,KI,129,365,120,249,0,0
TUK 11-3127,KI,69,280,37,109,0,3
SEA 46-2274,KI,78,256,89,167,0,0
SEA 46-2275,KI,36,127,35,71,0,0
SEA 46-2276,KI,117,382,132,250,0,1
SEA 46-2277,KI,176,568,192,368,0,0
SEA 46-2270,KI,107,290,93,202,0,2
SEA 46-2271,KI,154,476,162,319,0,3
SEA 46-2272,KI,117,367,128,247,0,2
M-V 05-3272,KI,250,878,182,436,0,4
HOLM LAKE,KI,232,710,183,415,0,0
COV 47-2390,KI,132,505,69,204,0,3
SEA 37-3696,KI,11,49,7,18,0,0
SEA 37-3693,KI,0,0,0,0,0,0
CADDIS,KI,115,366,92,211,0,4
SHL 32-0396,KI,256,767,137,401,0,8
SEA 37-1557,KI,78,343,44,124,0,2
SEA 43-2541,KI,64,268,51,115,0,0
KEN 11-3331,KI,99,456,65,166,0,2
SHL 32-0606,KI,109,364,69,183,0,5
RNT 11-0738,KI,77,444,62,141,0,2
ENM 05-3414,KI,0,0,0,0,0,0
STILLWATER,KI,165,523,123,292,0,4
FED 30-3052,KI,158,494,85,243,0,0
FED 30-3053,KI,138,472,79,218,0,1
FED 30-3050,KI,52,222,46,98,0,0
FED 30-3051,KI,95,400,55,152,0,2
FED 30-3056,KI,98,323,68,166,0,0
FED 30-3054,KI,108,386,60,168,0,0
FED 30-3055,KI,179,575,99,280,0,2
SHL 32-0486,KI,88,298,95,185,0,2
DES 33-0668,KI,65,273,58,123,0,0
SEA 43-2061,KI,97,476,108,207,0,2
SEA 43-2064,KI,65,370,81,148,0,2
SEA 43-2065,KI,96,547,81,179,0,2
SEA 43-2068,KI,93,425,97,191,0,1
SEA 36-2164,KI,109,310,106,215,0,0
BEAR CREEK,KI,136,452,136,275,0,3
KMR 46-0473,KI,150,438,97,253,0,6
SEA 37-1825,KI,190,704,102,296,0,4
SEA 36-1382,KI,113,374,120,233,0,0
