"Race","CountyCode","Candidate","PrecinctName","PrecinctCode","Votes"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","Yakima(*)","3104","0"
"Richland School District 400 Director No. 1","BE","Heather Cleary","Yakima(*)","3104","0"
"Richland School District 400 Director No. 1","BE","Ron Higgins","Yakima(*)","3104","0"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","WR 1","4001","9"
"Richland School District 400 Director No. 1","BE","Heather Cleary","WR 1","4001","57"
"Richland School District 400 Director No. 1","BE","Ron Higgins","WR 1","4001","32"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","WR 2","4002","7"
"Richland School District 400 Director No. 1","BE","Heather Cleary","WR 2","4002","52"
"Richland School District 400 Director No. 1","BE","Ron Higgins","WR 2","4002","33"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","WR 3","4003","40"
"Richland School District 400 Director No. 1","BE","Heather Cleary","WR 3","4003","195"
"Richland School District 400 Director No. 1","BE","Ron Higgins","WR 3","4003","153"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","WR 4","4004","12"
"Richland School District 400 Director No. 1","BE","Heather Cleary","WR 4","4004","109"
"Richland School District 400 Director No. 1","BE","Ron Higgins","WR 4","4004","95"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","WR 5","4005","3"
"Richland School District 400 Director No. 1","BE","Heather Cleary","WR 5","4005","23"
"Richland School District 400 Director No. 1","BE","Ron Higgins","WR 5","4005","16"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","WR 6","4006","27"
"Richland School District 400 Director No. 1","BE","Heather Cleary","WR 6","4006","151"
"Richland School District 400 Director No. 1","BE","Ron Higgins","WR 6","4006","126"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","WR 7","4007","24"
"Richland School District 400 Director No. 1","BE","Heather Cleary","WR 7","4007","159"
"Richland School District 400 Director No. 1","BE","Ron Higgins","WR 7","4007","113"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","WR 8","4008","13"
"Richland School District 400 Director No. 1","BE","Heather Cleary","WR 8","4008","108"
"Richland School District 400 Director No. 1","BE","Ron Higgins","WR 8","4008","91"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","WR 9","4009","11"
"Richland School District 400 Director No. 1","BE","Heather Cleary","WR 9","4009","103"
"Richland School District 400 Director No. 1","BE","Ron Higgins","WR 9","4009","78"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","WR 10","4010","1"
"Richland School District 400 Director No. 1","BE","Heather Cleary","WR 10","4010","3"
"Richland School District 400 Director No. 1","BE","Ron Higgins","WR 10","4010","4"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","WR 11","4011","31"
"Richland School District 400 Director No. 1","BE","Heather Cleary","WR 11","4011","116"
"Richland School District 400 Director No. 1","BE","Ron Higgins","WR 11","4011","111"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","Enterprise","4101","8"
"Richland School District 400 Director No. 1","BE","Heather Cleary","Enterprise","4101","23"
"Richland School District 400 Director No. 1","BE","Ron Higgins","Enterprise","4101","15"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","Harrington","4102","7"
"Richland School District 400 Director No. 1","BE","Heather Cleary","Harrington","4102","64"
"Richland School District 400 Director No. 1","BE","Ron Higgins","Harrington","4102","50"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","Red Mountain","4103","9"
"Richland School District 400 Director No. 1","BE","Heather Cleary","Red Mountain","4103","27"
"Richland School District 400 Director No. 1","BE","Ron Higgins","Red Mountain","4103","25"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","Clements","5603","7"
"Richland School District 400 Director No. 1","BE","Heather Cleary","Clements","5603","13"
"Richland School District 400 Director No. 1","BE","Ron Higgins","Clements","5603","14"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","Celilo(*)","5625","0"
"Richland School District 400 Director No. 1","BE","Heather Cleary","Celilo(*)","5625","0"
"Richland School District 400 Director No. 1","BE","Ron Higgins","Celilo(*)","5625","0"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","Candy(*)","5632","0"
"Richland School District 400 Director No. 1","BE","Heather Cleary","Candy(*)","5632","0"
"Richland School District 400 Director No. 1","BE","Ron Higgins","Candy(*)","5632","0"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","French","5633","1"
"Richland School District 400 Director No. 1","BE","Heather Cleary","French","5633","6"
"Richland School District 400 Director No. 1","BE","Ron Higgins","French","5633","4"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","Shockley(*)","5634","0"
"Richland School District 400 Director No. 1","BE","Heather Cleary","Shockley(*)","5634","0"
"Richland School District 400 Director No. 1","BE","Ron Higgins","Shockley(*)","5634","0"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","Liberty(*)","5635","0"
"Richland School District 400 Director No. 1","BE","Heather Cleary","Liberty(*)","5635","0"
"Richland School District 400 Director No. 1","BE","Ron Higgins","Liberty(*)","5635","0"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","Gage(*)","5636","0"
"Richland School District 400 Director No. 1","BE","Heather Cleary","Gage(*)","5636","0"
"Richland School District 400 Director No. 1","BE","Ron Higgins","Gage(*)","5636","0"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","Orchard","5637","0"
"Richland School District 400 Director No. 1","BE","Heather Cleary","Orchard","5637","0"
"Richland School District 400 Director No. 1","BE","Ron Higgins","Orchard","5637","0"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","105","6105","8"
"Richland School District 400 Director No. 1","BE","Heather Cleary","105","6105","49"
"Richland School District 400 Director No. 1","BE","Ron Higgins","105","6105","21"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","110","6110","10"
"Richland School District 400 Director No. 1","BE","Heather Cleary","110","6110","74"
"Richland School District 400 Director No. 1","BE","Ron Higgins","110","6110","40"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","115","6115","12"
"Richland School District 400 Director No. 1","BE","Heather Cleary","115","6115","78"
"Richland School District 400 Director No. 1","BE","Ron Higgins","115","6115","25"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","120","6120","31"
"Richland School District 400 Director No. 1","BE","Heather Cleary","120","6120","98"
"Richland School District 400 Director No. 1","BE","Ron Higgins","120","6120","58"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","125","6125","14"
"Richland School District 400 Director No. 1","BE","Heather Cleary","125","6125","62"
"Richland School District 400 Director No. 1","BE","Ron Higgins","125","6125","49"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","130","6130","21"
"Richland School District 400 Director No. 1","BE","Heather Cleary","130","6130","83"
"Richland School District 400 Director No. 1","BE","Ron Higgins","130","6130","55"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","135","6135","21"
"Richland School District 400 Director No. 1","BE","Heather Cleary","135","6135","94"
"Richland School District 400 Director No. 1","BE","Ron Higgins","135","6135","48"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","140","6140","16"
"Richland School District 400 Director No. 1","BE","Heather Cleary","140","6140","72"
"Richland School District 400 Director No. 1","BE","Ron Higgins","140","6140","38"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","145","6145","27"
"Richland School District 400 Director No. 1","BE","Heather Cleary","145","6145","150"
"Richland School District 400 Director No. 1","BE","Ron Higgins","145","6145","54"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","150","6150","29"
"Richland School District 400 Director No. 1","BE","Heather Cleary","150","6150","198"
"Richland School District 400 Director No. 1","BE","Ron Higgins","150","6150","158"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","151","6151","24"
"Richland School District 400 Director No. 1","BE","Heather Cleary","151","6151","136"
"Richland School District 400 Director No. 1","BE","Ron Higgins","151","6151","62"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","155","6155","24"
"Richland School District 400 Director No. 1","BE","Heather Cleary","155","6155","97"
"Richland School District 400 Director No. 1","BE","Ron Higgins","155","6155","49"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","160","6160","25"
"Richland School District 400 Director No. 1","BE","Heather Cleary","160","6160","86"
"Richland School District 400 Director No. 1","BE","Ron Higgins","160","6160","63"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","165","6165","9"
"Richland School District 400 Director No. 1","BE","Heather Cleary","165","6165","43"
"Richland School District 400 Director No. 1","BE","Ron Higgins","165","6165","34"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","170","6170","11"
"Richland School District 400 Director No. 1","BE","Heather Cleary","170","6170","58"
"Richland School District 400 Director No. 1","BE","Ron Higgins","170","6170","46"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","175","6175","10"
"Richland School District 400 Director No. 1","BE","Heather Cleary","175","6175","86"
"Richland School District 400 Director No. 1","BE","Ron Higgins","175","6175","82"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","180","6180","6"
"Richland School District 400 Director No. 1","BE","Heather Cleary","180","6180","48"
"Richland School District 400 Director No. 1","BE","Ron Higgins","180","6180","31"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","185","6185","8"
"Richland School District 400 Director No. 1","BE","Heather Cleary","185","6185","51"
"Richland School District 400 Director No. 1","BE","Ron Higgins","185","6185","17"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","186","6186","13"
"Richland School District 400 Director No. 1","BE","Heather Cleary","186","6186","23"
"Richland School District 400 Director No. 1","BE","Ron Higgins","186","6186","31"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","190","6190","15"
"Richland School District 400 Director No. 1","BE","Heather Cleary","190","6190","77"
"Richland School District 400 Director No. 1","BE","Ron Higgins","190","6190","46"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","195","6195","11"
"Richland School District 400 Director No. 1","BE","Heather Cleary","195","6195","72"
"Richland School District 400 Director No. 1","BE","Ron Higgins","195","6195","43"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","200","6200","8"
"Richland School District 400 Director No. 1","BE","Heather Cleary","200","6200","51"
"Richland School District 400 Director No. 1","BE","Ron Higgins","200","6200","47"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","205","6205","8"
"Richland School District 400 Director No. 1","BE","Heather Cleary","205","6205","55"
"Richland School District 400 Director No. 1","BE","Ron Higgins","205","6205","29"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","210","6210","9"
"Richland School District 400 Director No. 1","BE","Heather Cleary","210","6210","47"
"Richland School District 400 Director No. 1","BE","Ron Higgins","210","6210","41"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","215","6215","11"
"Richland School District 400 Director No. 1","BE","Heather Cleary","215","6215","46"
"Richland School District 400 Director No. 1","BE","Ron Higgins","215","6215","32"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","220","6220","16"
"Richland School District 400 Director No. 1","BE","Heather Cleary","220","6220","42"
"Richland School District 400 Director No. 1","BE","Ron Higgins","220","6220","33"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","225","6225","11"
"Richland School District 400 Director No. 1","BE","Heather Cleary","225","6225","51"
"Richland School District 400 Director No. 1","BE","Ron Higgins","225","6225","83"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","230","6230","12"
"Richland School District 400 Director No. 1","BE","Heather Cleary","230","6230","51"
"Richland School District 400 Director No. 1","BE","Ron Higgins","230","6230","20"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","235","6235","14"
"Richland School District 400 Director No. 1","BE","Heather Cleary","235","6235","57"
"Richland School District 400 Director No. 1","BE","Ron Higgins","235","6235","35"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","240","6240","29"
"Richland School District 400 Director No. 1","BE","Heather Cleary","240","6240","93"
"Richland School District 400 Director No. 1","BE","Ron Higgins","240","6240","73"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","245","6245","11"
"Richland School District 400 Director No. 1","BE","Heather Cleary","245","6245","52"
"Richland School District 400 Director No. 1","BE","Ron Higgins","245","6245","43"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","250","6250","8"
"Richland School District 400 Director No. 1","BE","Heather Cleary","250","6250","74"
"Richland School District 400 Director No. 1","BE","Ron Higgins","250","6250","44"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","255","6255","6"
"Richland School District 400 Director No. 1","BE","Heather Cleary","255","6255","70"
"Richland School District 400 Director No. 1","BE","Ron Higgins","255","6255","41"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","260","6260","11"
"Richland School District 400 Director No. 1","BE","Heather Cleary","260","6260","62"
"Richland School District 400 Director No. 1","BE","Ron Higgins","260","6260","52"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","265","6265","8"
"Richland School District 400 Director No. 1","BE","Heather Cleary","265","6265","60"
"Richland School District 400 Director No. 1","BE","Ron Higgins","265","6265","52"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","270","6270","18"
"Richland School District 400 Director No. 1","BE","Heather Cleary","270","6270","89"
"Richland School District 400 Director No. 1","BE","Ron Higgins","270","6270","46"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","271","6271","6"
"Richland School District 400 Director No. 1","BE","Heather Cleary","271","6271","46"
"Richland School District 400 Director No. 1","BE","Ron Higgins","271","6271","36"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","280","6280","23"
"Richland School District 400 Director No. 1","BE","Heather Cleary","280","6280","168"
"Richland School District 400 Director No. 1","BE","Ron Higgins","280","6280","97"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","281","6281","23"
"Richland School District 400 Director No. 1","BE","Heather Cleary","281","6281","123"
"Richland School District 400 Director No. 1","BE","Ron Higgins","281","6281","76"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","282","6282","13"
"Richland School District 400 Director No. 1","BE","Heather Cleary","282","6282","122"
"Richland School District 400 Director No. 1","BE","Ron Higgins","282","6282","73"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","283","6283","9"
"Richland School District 400 Director No. 1","BE","Heather Cleary","283","6283","71"
"Richland School District 400 Director No. 1","BE","Ron Higgins","283","6283","25"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","284","6284","14"
"Richland School District 400 Director No. 1","BE","Heather Cleary","284","6284","54"
"Richland School District 400 Director No. 1","BE","Ron Higgins","284","6284","43"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","285","6285","23"
"Richland School District 400 Director No. 1","BE","Heather Cleary","285","6285","181"
"Richland School District 400 Director No. 1","BE","Ron Higgins","285","6285","114"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","286","6286","28"
"Richland School District 400 Director No. 1","BE","Heather Cleary","286","6286","206"
"Richland School District 400 Director No. 1","BE","Ron Higgins","286","6286","121"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","287","6287","13"
"Richland School District 400 Director No. 1","BE","Heather Cleary","287","6287","59"
"Richland School District 400 Director No. 1","BE","Ron Higgins","287","6287","29"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","288","6288","22"
"Richland School District 400 Director No. 1","BE","Heather Cleary","288","6288","137"
"Richland School District 400 Director No. 1","BE","Ron Higgins","288","6288","102"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","290","6290","11"
"Richland School District 400 Director No. 1","BE","Heather Cleary","290","6290","83"
"Richland School District 400 Director No. 1","BE","Ron Higgins","290","6290","43"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","291","6291","39"
"Richland School District 400 Director No. 1","BE","Heather Cleary","291","6291","142"
"Richland School District 400 Director No. 1","BE","Ron Higgins","291","6291","85"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","295","6295","16"
"Richland School District 400 Director No. 1","BE","Heather Cleary","295","6295","77"
"Richland School District 400 Director No. 1","BE","Ron Higgins","295","6295","51"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","300","6300","14"
"Richland School District 400 Director No. 1","BE","Heather Cleary","300","6300","110"
"Richland School District 400 Director No. 1","BE","Ron Higgins","300","6300","42"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","301","6301","9"
"Richland School District 400 Director No. 1","BE","Heather Cleary","301","6301","85"
"Richland School District 400 Director No. 1","BE","Ron Higgins","301","6301","40"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","305","6305","17"
"Richland School District 400 Director No. 1","BE","Heather Cleary","305","6305","67"
"Richland School District 400 Director No. 1","BE","Ron Higgins","305","6305","31"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","315","6315","19"
"Richland School District 400 Director No. 1","BE","Heather Cleary","315","6315","118"
"Richland School District 400 Director No. 1","BE","Ron Higgins","315","6315","67"
"Richland School District 400 Director No. 1","BE","Jimmie D Chastain II","320","6320","14"
"Richland School District 400 Director No. 1","BE","Heather Cleary","320","6320","88"
"Richland School District 400 Director No. 1","BE","Ron Higgins","320","6320","67"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","Total","-1","1882"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","Total","-1","2743"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","Total","-1","1551"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","Total","-1","775"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","Sunny","1414","2"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","Sunny","1414","7"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","Sunny","1414","6"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","Sunny","1414","3"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","Badger","1420","0"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","Badger","1420","0"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","Badger","1420","0"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","Badger","1420","0"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P650","1650","43"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P650","1650","62"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P650","1650","45"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P650","1650","26"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P651","1651","9"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P651","1651","8"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P651","1651","17"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P651","1651","4"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P655","1655","34"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P655","1655","31"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P655","1655","19"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P655","1655","20"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P657","1657","36"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P657","1657","45"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P657","1657","27"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P657","1657","19"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P664","1664","58"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P664","1664","84"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P664","1664","60"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P664","1664","11"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P665","1665","71"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P665","1665","138"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P665","1665","64"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P665","1665","37"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P668","1668","42"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P668","1668","145"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P668","1668","45"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P668","1668","20"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P670","1670","40"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P670","1670","42"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P670","1670","35"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P670","1670","14"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P675","1675","69"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P675","1675","73"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P675","1675","60"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P675","1675","36"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P676","1676","63"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P676","1676","44"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P676","1676","30"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P676","1676","18"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P680","1680","80"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P680","1680","95"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P680","1680","52"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P680","1680","41"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P681","1681","36"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P681","1681","89"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P681","1681","62"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P681","1681","23"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P682","1682","25"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P682","1682","51"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P682","1682","20"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P682","1682","11"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P685","1685","77"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P685","1685","102"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P685","1685","48"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P685","1685","21"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P690","1690","137"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P690","1690","257"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P690","1690","79"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P690","1690","52"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W1 - P691","1691","3"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W1 - P691","1691","2"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W1 - P691","1691","3"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W1 - P691","1691","1"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W2-P574","2574","25"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W2-P574","2574","35"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W2-P574","2574","30"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W2-P574","2574","4"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W2 - P575","2575","19"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W2 - P575","2575","22"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W2 - P575","2575","22"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W2 - P575","2575","6"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W2 - P595","2595","47"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W2 - P595","2595","51"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W2 - P595","2595","36"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W2 - P595","2595","12"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W2 - P620","2620","23"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W2 - P620","2620","36"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W2 - P620","2620","22"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W2 - P620","2620","18"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W2 - P626","2626","31"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W2 - P626","2626","28"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W2 - P626","2626","15"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W2 - P626","2626","17"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W2 - P630","2630","34"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W2 - P630","2630","59"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W2 - P630","2630","34"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W2 - P630","2630","20"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W2 - P635","2635","44"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W2 - P635","2635","64"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W2 - P635","2635","46"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W2 - P635","2635","27"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W2 - P636","2636","119"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W2 - P636","2636","156"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Danette Layne","W2 - P636","2636","92"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Barry Bush","W2 - P636","2636","52"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","John Givens","W2 - P637","2637","109"
"Port Of Kennewick-Dist 1 Commissioner District 1","BE","Don Barnes","W2 - P637","2637","174"
